Timestamp,RED,IR,Ax,Ay,Az,Gx,Gy,Gz,Temperature
2021-01-01 00:27:31,6807,11808,0.15,0.91,-0.43,2,3,1,31.0
2021-01-01 00:28:01,6818,11818,0.16,0.91,-0.44,2,3,1,30.91
2021-01-01 00:28:31,6814,11800,0.15,0.9,-0.43,3,3,1,30.95
2021-01-01 00:29:01,6822,11819,0.15,0.91,-0.44,2,3,1,30.86
2021-01-01 00:29:31,6818,11794,0.15,0.91,-0.43,3,3,1,30.91
2021-01-01 00:30:01,6827,11807,0.16,0.91,-0.43,3,3,1,30.95
2021-01-01 00:30:31,6843,11840,0.16,0.91,-0.44,3,3,1,30.91
2021-01-01 00:31:01,6839,11823,0.15,0.91,-0.44,3,3,1,30.91
2021-01-01 00:31:31,6832,11795,0.15,0.91,-0.43,3,3,1,30.86
2021-01-01 00:32:01,6845,11809,0.15,0.91,-0.44,3,3,1,30.91
2021-01-01 00:32:31,6840,11787,0.15,0.91,-0.44,3,3,2,30.86
2021-01-01 00:33:01,6855,11832,0.15,0.91,-0.44,2,3,1,30.91
2021-01-01 00:33:31,6856,11815,0.16,0.91,-0.43,2,3,1,30.86
2021-01-01 00:34:01,6855,11815,0.15,0.91,-0.44,3,3,1,30.81
2021-01-01 00:34:31,6879,11881,0.16,0.91,-0.43,3,3,1,30.76
2021-01-01 00:35:01,6883,11898,0.16,0.91,-0.44,3,3,1,30.86
2021-01-01 00:35:31,6882,11905,0.15,0.91,-0.44,3,3,1,30.81
2021-01-01 00:36:01,6888,11916,0.15,0.91,-0.44,3,3,1,30.81
2021-01-01 00:36:31,6884,11884,0.16,0.91,-0.44,3,3,1,30.67
2021-01-01 00:37:01,6885,11878,0.15,0.91,-0.43,3,3,1,30.81
2021-01-01 00:37:31,6907,11927,0.15,0.91,-0.43,2,3,1,30.86
2021-01-01 00:38:01,6903,11895,0.15,0.91,-0.44,3,3,1,30.81
2021-01-01 00:38:31,6908,11912,0.16,0.91,-0.44,3,3,2,30.86
2021-01-01 00:39:01,6902,11902,0.15,0.91,-0.44,3,3,1,30.76
2021-01-01 00:39:31,6908,11893,0.16,0.91,-0.43,3,3,1,30.81
2021-01-01 00:40:01,6919,11940,0.16,0.9,-0.43,3,3,1,30.76
2021-01-01 00:40:31,6924,11936,0.16,0.91,-0.43,2,3,1,30.72
2021-01-01 00:41:01,6913,11913,0.16,0.91,-0.44,3,3,1,30.81
2021-01-01 00:41:31,6915,11891,0.16,0.91,-0.43,3,3,1,30.76
2021-01-01 00:42:00,6915,11898,0.15,0.9,-0.43,3,3,1,30.76
2021-01-01 00:42:31,6920,11901,0.16,0.91,-0.44,3,3,1,30.81
2021-01-01 00:43:01,6918,11897,0.15,0.91,-0.44,2,3,1,30.81
2021-01-01 00:43:31,6906,11828,0.15,0.91,-0.43,3,3,1,30.76
2021-01-01 00:44:01,6917,11853,0.15,0.91,-0.44,3,3,1,30.72
2021-01-01 00:44:31,6918,11864,0.16,0.9,-0.44,2,2,1,30.81
2021-01-01 00:45:01,6912,11837,0.16,0.91,-0.44,3,3,1,30.76
2021-01-01 00:45:31,6927,11888,0.15,0.91,-0.43,2,3,1,30.72
2021-01-01 00:46:01,6965,11997,0.16,0.91,-0.42,3,3,1,30.72
2021-01-01 00:46:31,6933,11919,0.15,0.91,-0.43,3,3,1,30.72
2021-01-01 00:47:01,6951,11945,0.15,0.91,-0.43,3,3,1,30.67
2021-01-01 00:47:31,6943,11929,0.15,0.91,-0.43,3,3,1,30.76
2021-01-01 00:48:01,6938,11910,0.15,0.91,-0.44,2,3,1,30.76
2021-01-01 00:48:31,6956,11957,0.15,0.9,-0.43,3,3,1,30.81
2021-01-01 00:49:01,6951,11938,0.15,0.91,-0.44,3,3,1,30.81
2021-01-01 00:49:31,6942,11922,0.16,0.91,-0.44,2,3,1,30.72
2021-01-01 00:50:01,6955,11951,0.15,0.91,-0.44,3,3,1,30.76
2021-01-01 00:50:31,6962,11974,0.15,0.91,-0.43,3,3,1,30.81
2021-01-01 00:51:01,6961,11968,0.15,0.91,-0.43,3,3,1,30.72
2021-01-01 00:51:31,6954,11939,0.15,0.91,-0.44,3,3,1,30.76
2021-01-01 00:52:01,6950,11897,0.15,0.91,-0.43,3,3,1,30.72
2021-01-01 00:52:31,6969,11944,0.15,0.91,-0.44,3,3,1,30.72
2021-01-01 00:53:01,6967,11965,0.15,0.91,-0.44,3,3,1,30.67
2021-01-01 00:53:31,6959,11939,0.15,0.91,-0.43,2,3,1,30.62
2021-01-01 00:54:01,6966,11924,0.16,0.91,-0.44,3,2,1,30.62
2021-01-01 00:54:31,6967,11924,0.16,0.91,-0.44,2,2,1,30.62
2021-01-01 00:55:01,6965,11905,0.16,0.9,-0.43,2,3,1,30.72
2021-01-01 00:55:31,6987,11971,0.16,0.91,-0.44,3,3,1,30.67
2021-01-01 00:56:01,6981,11946,0.15,0.91,-0.43,3,2,1,30.72
2021-01-01 00:56:31,7002,12001,0.16,0.91,-0.43,3,3,1,30.67
2021-01-01 00:57:01,6977,11978,0.16,0.91,-0.43,3,3,1,30.67
2021-01-01 00:57:31,6984,11977,0.16,0.91,-0.44,3,3,1,30.53
2021-01-01 00:58:01,6986,11964,0.16,0.91,-0.43,2,3,1,30.58
2021-01-01 00:58:31,6986,11969,0.15,0.91,-0.43,2,3,1,30.58
2021-01-01 00:59:01,6988,11984,0.15,0.9,-0.43,3,3,1,30.62
2021-01-01 00:59:31,7006,12017,0.15,0.91,-0.43,3,2,1,30.67
2021-01-01 01:00:01,6995,12001,0.15,0.91,-0.43,3,3,1,30.62
2021-01-01 01:00:31,6998,11976,0.16,0.91,-0.44,3,3,1,30.53
2021-01-01 01:01:01,6989,11977,0.15,0.91,-0.42,3,3,1,30.58
2021-01-01 01:01:31,7037,12119,0.16,0.91,-0.44,3,2,1,30.62
2021-01-01 01:02:01,6980,12017,0.16,0.91,-0.43,3,3,1,30.58
2021-01-01 01:02:31,6994,12054,0.15,0.91,-0.44,3,3,1,30.62
2021-01-01 01:03:01,7001,12053,0.15,0.91,-0.44,3,3,1,30.58
2021-01-01 01:03:31,7170,12449,-0.02,0.9599999,-0.17,3,2,1,30.53
2021-01-01 01:04:01,7128,12260,-0.05,0.9599999,-0.15,2,3,1,30.53
2021-01-01 01:04:31,7159,12256,-0.04,0.9599999,-0.14,3,3,1,30.29
2021-01-01 01:05:01,7151,12265,-0.04,0.9599999,-0.14,3,3,1,30.34
2021-01-01 01:05:31,7156,12259,-0.03,0.9599999,-0.15,3,3,1,30.34
2021-01-01 01:06:01,7143,12229,-0.04,0.9599999,-0.15,3,3,1,30.29
2021-01-01 01:06:31,7114,12132,-0.04,0.9599999,-0.11,3,3,1,30.25
2021-01-01 01:07:01,7140,12140,-0.04,0.9700001,-0.11,3,3,1,30.01
2021-01-01 01:07:31,7123,12042,-0.05,0.9599999,-0.12,2,2,1,29.92
2021-01-01 01:08:01,7132,12034,-0.04,0.9599999,-0.11,3,3,1,29.78
2021-01-01 01:08:31,7154,12073,-0.04,0.9599999,-0.11,2,3,1,29.73
2021-01-01 01:09:01,7137,11988,-0.05,0.9599999,-0.12,3,2,1,29.73
2021-01-01 01:09:31,7157,12040,-0.04,0.9700001,-0.1,3,3,1,29.64
2021-01-01 01:10:01,7132,11937,-0.05,0.9599999,-0.12,3,3,1,29.68
2021-01-01 01:10:31,7114,11841,-0.05,0.9599999,-0.11,3,2,1,29.87
2021-01-01 01:11:01,7109,11827,-0.05,0.9599999,-0.11,3,2,1,29.82
2021-01-01 01:11:31,7113,11824,-0.05,0.9700001,-0.12,3,3,1,29.82
2021-01-01 01:12:01,7121,11832,-0.05,0.93,-0.11,2,6,4,29.73
2021-01-01 01:12:31,7124,11822,-0.05,0.9599999,-0.12,3,3,1,29.73
2021-01-01 01:13:01,7144,11906,-0.04,0.9599999,-0.11,3,3,1,29.78
2021-01-01 01:13:31,7134,11849,-0.04,0.9700001,-0.11,3,3,2,29.82
2021-01-01 01:14:01,7112,11809,-0.04,0.9700001,-0.11,3,2,1,29.87
2021-01-01 01:14:31,7111,11807,-0.04,0.9599999,-0.12,3,3,1,29.87
2021-01-01 01:15:01,7132,11871,-0.05,0.9599999,-0.11,3,2,1,29.87
2021-01-01 01:15:31,7151,11921,-0.05,0.9599999,-0.11,3,3,1,29.87
2021-01-01 01:16:01,7140,11897,-0.05,0.9599999,-0.12,3,3,1,29.92
2021-01-01 01:16:31,7170,12036,-0.04,0.9700001,-0.11,2,2,1,29.82
2021-01-01 01:17:01,7112,11891,-0.04,0.9700001,-0.12,3,2,1,29.73
2021-01-01 01:17:31,7087,11858,-0.04,0.9599999,-0.11,3,3,1,29.73
2021-01-01 01:18:01,7092,11855,-0.04,0.9700001,-0.12,3,3,1,29.82
2021-01-01 01:18:31,7076,11832,-0.04,0.9599999,-0.11,3,2,1,29.82
2021-01-01 01:19:01,7071,11800,-0.04,0.9599999,-0.12,2,3,1,29.73
2021-01-01 01:19:31,7057,11774,-0.05,0.9700001,-0.12,3,3,1,29.78
2021-01-01 01:20:01,7064,11795,-0.04,0.9700001,-0.12,2,3,1,29.68
2021-01-01 01:20:31,7064,11789,-0.04,0.9599999,-0.12,3,2,1,29.68
2021-01-01 01:21:01,7072,11787,-0.05,0.9599999,-0.12,3,3,1,29.64
2021-01-01 01:21:31,7079,11785,-0.04,0.9599999,-0.12,3,3,1,29.68
2021-01-01 01:22:01,7062,11714,-0.05,0.9599999,-0.11,3,3,1,29.64
2021-01-01 01:22:31,7055,11751,-0.05,0.9700001,-0.12,2,3,1,29.68
2021-01-01 01:23:01,7075,11770,-0.05,0.9700001,-0.12,3,2,1,29.59
2021-01-01 01:23:31,7076,11714,-0.05,0.9599999,-0.13,3,3,1,29.68
2021-01-01 01:24:01,7085,11723,-0.05,0.9599999,-0.13,3,3,1,29.68
2021-01-01 01:24:31,7084,11720,-0.04,0.9700001,-0.12,3,3,1,29.54
2021-01-01 01:25:01,7097,11785,-0.04,0.9599999,-0.13,3,3,1,29.64
2021-01-01 01:25:31,7094,11784,-0.04,0.9599999,-0.12,2,2,1,29.59
2021-01-01 01:26:01,7085,11785,-0.04,0.9599999,-0.12,3,3,1,29.59
2021-01-01 01:26:31,7088,11799,-0.04,0.9700001,-0.13,3,3,1,29.64
2021-01-01 01:27:01,7083,11789,-0.05,0.9599999,-0.13,3,2,1,29.59
2021-01-01 01:27:31,7102,11836,-0.05,0.9599999,-0.12,2,3,1,29.49
2021-01-01 01:28:01,7098,11834,-0.05,0.9599999,-0.13,3,3,1,29.64
2021-01-01 01:28:31,7106,11853,-0.05,0.9599999,-0.12,3,2,1,29.59
2021-01-01 01:29:01,7079,11784,-0.04,0.9599999,-0.12,3,3,1,29.45
2021-01-01 01:29:31,7082,11769,-0.04,0.9700001,-0.13,3,2,1,29.59
2021-01-01 01:30:01,7087,11768,-0.04,0.9599999,-0.13,3,3,1,29.59
2021-01-01 01:30:31,7085,11800,-0.05,0.9700001,-0.12,3,3,1,29.59
2021-01-01 01:31:01,7081,11771,-0.05,0.9599999,-0.13,3,3,1,29.68
2021-01-01 01:31:31,7089,11767,-0.05,0.9700001,-0.12,3,2,1,29.68
2021-01-01 01:32:01,7082,11768,-0.05,0.9599999,-0.13,3,2,1,29.64
2021-01-01 01:32:31,7061,11839,0.04,0.9700001,-0.17,3,3,1,29.59
2021-01-01 01:33:01,7068,11769,0.04,0.9700001,-0.16,3,2,1,29.82
2021-01-01 01:33:31,7044,11717,0.03,0.9599999,-0.16,2,3,1,29.87
2021-01-01 01:34:01,6587,11490,-0.12,0.92,-0.19,-11,10,-9,30.15
2021-01-01 01:34:31,6409,12249,-0.85,-0.37,-0.23,2,4,0,29.64
2021-01-01 01:35:01,6549,12393,-0.85,-0.36,-0.22,3,2,1,29.21
2021-01-01 01:35:31,6595,12438,-0.85,-0.36,-0.22,3,3,1,28.88
2021-01-01 01:36:01,6616,12446,-0.85,-0.36,-0.22,3,2,1,28.55
2021-01-01 01:36:31,6651,12525,-0.84,-0.36,-0.23,3,3,1,28.27
2021-01-01 01:37:01,6682,12584,-0.85,-0.36,-0.22,3,3,1,27.94
2021-01-01 01:37:31,6696,12581,-0.85,-0.36,-0.22,3,3,1,27.94
2021-01-01 01:38:01,6724,12640,-0.85,-0.36,-0.21,3,3,1,27.8
2021-01-01 01:38:31,6748,12687,-0.85,-0.36,-0.22,2,3,1,27.85
2021-01-01 01:39:01,6775,12722,-0.85,-0.36,-0.21,4,1,2,27.8
2021-01-01 01:39:31,6786,12726,-0.84,-0.36,-0.21,3,2,1,27.71
2021-01-01 01:40:01,6824,12759,-0.84,-0.36,-0.22,3,2,1,27.75
2021-01-01 01:40:31,6848,12799,-0.86,-0.36,-0.21,3,3,1,27.71
2021-01-01 01:41:01,6854,12818,-0.84,-0.37,-0.24,2,3,0,27.71
2021-01-01 01:41:31,6880,12833,-0.84,-0.36,-0.23,3,3,1,27.71
2021-01-01 01:42:01,6891,12818,-0.85,-0.37,-0.24,3,2,1,27.71
2021-01-01 01:42:31,6903,12829,-0.84,-0.36,-0.25,3,3,1,27.66
2021-01-01 01:43:01,6919,12857,-0.84,-0.37,-0.24,2,3,1,27.61
2021-01-01 01:43:31,6926,12862,-0.84,-0.37,-0.24,3,2,1,27.71
2021-01-01 01:44:01,6941,12879,-0.84,-0.37,-0.23,3,0,2,27.61
2021-01-01 01:44:31,6308,11637,-1.1,-0.17,0.36,2,24,23,27.71
2021-01-01 01:45:01,6816,12462,-0.83,-0.35,0.14,3,3,1,27.8
2021-01-01 01:45:31,6817,12453,-0.84,-0.35,0.15,3,2,1,27.94
2021-01-01 01:46:01,6810,12434,-0.84,-0.35,0.15,2,2,1,28.18
2021-01-01 01:46:31,6826,12468,-0.84,-0.36,0.16,3,3,1,28.08
2021-01-01 01:47:01,6834,12459,-0.84,-0.35,0.15,3,3,1,28.22
2021-01-01 01:47:31,6823,12427,-0.84,-0.35,0.15,3,3,1,28.36
2021-01-01 01:48:01,6838,12472,-0.84,-0.34,0.15,3,3,1,28.36
2021-01-01 01:48:31,6875,12570,-0.83,-0.35,0.15,3,3,1,28.41
2021-01-01 01:49:01,6850,12485,-0.84,-0.35,0.16,3,3,1,28.55
2021-01-01 01:49:31,6865,12507,-0.83,-0.35,0.16,3,3,1,28.6
2021-01-01 01:50:01,6875,12523,-0.83,-0.35,0.15,2,3,1,28.55
2021-01-01 01:50:31,6870,12516,-0.83,-0.35,0.16,2,3,1,28.65
2021-01-01 01:51:01,6851,12446,-0.83,-0.35,0.16,3,3,1,28.65
2021-01-01 01:51:31,6856,12451,-0.83,-0.35,0.16,3,3,1,28.65
2021-01-01 01:52:01,6870,12504,-0.84,-0.35,0.16,3,3,1,28.69
2021-01-01 01:52:31,6900,12570,-0.83,-0.35,0.16,2,3,1,28.74
2021-01-01 01:53:01,6884,12492,-0.83,-0.35,0.16,3,3,1,28.79
2021-01-01 01:53:31,6873,12452,-0.83,-0.35,0.16,3,2,1,28.79
2021-01-01 01:54:01,6886,12487,-0.83,-0.35,0.15,3,2,1,28.74
2021-01-01 01:54:31,6906,12531,-0.84,-0.35,0.16,3,3,1,28.79
2021-01-01 01:55:01,6904,12513,-0.83,-0.36,0.16,3,2,1,28.93
2021-01-01 01:55:31,6898,12487,-0.83,-0.35,0.16,3,3,1,28.88
